;seq_name;V1;V2;center_seq_name;eukref_env_biome;eukref_geo_loc_name;eukref_notes;gb_isolation_source;pr2_ocean;gb_lat_lon;pr2_ecosystem;pr2_habitat;gb_publication
45;AB290353_1_537_U_Parietichytrium_sarkarianum;H;119;AB810955_1_1755_U_Parietichytrium_sarkarianum;marine;NA;NA;NA;NA;NA;coastal;;Fluorescence in situ hybridization using rRNA-targeted probe for specific detection of thraustochytrids (Labyrinthulea)
46;AB290354_1_598_U_Schizochytrium_sp;H;36;GM664568_1_1803_U_Schizochytrium_sp;marine;NA;NA;NA;NA;NA;coastal;;Fluorescence in situ hybridization using rRNA-targeted probe for specific detection of thraustochytrids (Labyrinthulea)
47;AB290355_1_1790_U_Ulkenia_sp;S;1;AB290355_1_1790_U_Ulkenia_sp;NA;NA;NA;NA;NA;NA;coastal;;Fluorescence in situ hybridization using rRNA-targeted probe for specific detection of thraustochytrids (Labyrinthulea)
48;AB290454_1_1644_U_Labyrinthula_sp;S;280;AB290454_1_1644_U_Labyrinthula_sp;NA;NA;NA;isolated from a seagrass surface;NA;NA;coastal;seagrass;Bacteriolytic activity and growth of marine isolates of labyrinthulids on dead bacterial cells
49;AB290455_1_1677_U_Labyrinthula_sp;S;250;AB290455_1_1677_U_Labyrinthula_sp;NA;NA;NA;isolated from a seaweed surface;NA;NA;coastal;macroalgae;Bacteriolytic activity and growth of marine isolates of labyrinthulids on dead bacterial cells
50;AB290456_1_1677_U_Labyrinthula_sp;H;250;AB290455_1_1677_U_Labyrinthula_sp;NA;NA;NA;isolated from a seaweed surface;NA;NA;coastal;macroalgae;Bacteriolytic activity and growth of marine isolates of labyrinthulids on dead bacterial cells
51;AB290457_1_1648_U_Labyrinthula_sp;H;238;FR875359_1_1685_U_Labyrinthula_sp;NA;NA;NA;isolated from a coastal seawater sample;NA;NA;coastal;water;Bacteriolytic activity and growth of marine isolates of labyrinthulids on dead bacterial cells
52;AB290459_1_1646_U_Labyrinthula_sp;S;278;AB290459_1_1646_U_Labyrinthula_sp;NA;NA;NA;isolated from a mangrove leaf;NA;NA;mangrove;leaves;Bacteriolytic activity and growth of marine isolates of labyrinthulids on dead bacterial cells
53;AB290573_1_1711_U_Aurantiochytrium_sp;H;198;AB183655_1_1715_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;leaves;Taxonomic rearrangement of the genus Schizochytrium sensu lato based on morphology, chemotaxonomic characteristics, and 18S rRNA gene phylogeny (Thraustochytriaceae, Labyrinthulomycetes): emendation for Schizochytrium and erection of Aurantiochytrium and Oblongichytrium gen. nov
54;AB290574_1_1720_U_Aurantiochytrium_sp;H;87;FJ821482_1_1770_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Taxonomic rearrangement of the genus Schizochytrium sensu lato based on morphology, chemotaxonomic characteristics, and 18S rRNA gene phylogeny (Thraustochytriaceae, Labyrinthulomycetes): emendation for Schizochytrium and erection of Aurantiochytrium and Oblongichytrium gen. nov
55;AB290575_1_1774_U_Oblongichytrium_sp;H;41;FJ821480_1_1798_U_Oblongichytrium_sp;NA;NA;NA;NA;NA;NA;coastal;sand;Taxonomic rearrangement of the genus Schizochytrium sensu lato based on morphology, chemotaxonomic characteristics, and 18S rRNA gene phylogeny (Thraustochytriaceae, Labyrinthulomycetes): emendation for Schizochytrium and erection of Aurantiochytrium and Oblongichytrium gen. nov
56;AB290576_1_1766_U_Schizochytrium_sp;S;97;AB290576_1_1766_U_Schizochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Taxonomic rearrangement of the genus Schizochytrium sensu lato based on morphology, chemotaxonomic characteristics, and 18S rRNA gene phylogeny (Thraustochytriaceae, Labyrinthulomycetes): emendation for Schizochytrium and erection of Aurantiochytrium and Oblongichytrium gen. nov
57;AB290578_1_1766_U_Schizochytrium_sp;H;97;AB290576_1_1766_U_Schizochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Taxonomic rearrangement of the genus Schizochytrium sensu lato based on morphology, chemotaxonomic characteristics, and 18S rRNA gene phylogeny (Thraustochytriaceae, Labyrinthulomycetes): emendation for Schizochytrium and erection of Aurantiochytrium and Oblongichytrium gen. nov
58;AB290579_1_1734_U_Aurantiochytrium_sp;H;69;MH488968_1_1781_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
59;AB290580_1_1759_U_Parietichytrium_sarkarianum;S;112;AB290580_1_1759_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
60;AB290581_1_1700_U_Aurantiochytrium_sp;H;143;AB811009_1_1740_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
61;AB290582_1_1735_U_Sicyoidochytrium_sp;H;150;AB183654_1_1737_U_Sicyoidochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
62;AB290583_1_1719_U_Aurantiochytrium_sp;S;188;AB290583_1_1719_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
63;AB290584_1_1738_U_Aurantiochytrium_sp;H;143;AB811009_1_1740_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
64;AB290585_1_1733_U_Sicyoidochytrium_sp;H;150;AB183654_1_1737_U_Sicyoidochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
65;AB290586_1_1725_U_Schizochytrium_sp;H;97;AB290576_1_1766_U_Schizochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
66;AB290587_1_1732_U_Aurantiochytrium_sp;H;70;KM023693_1_1780_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
67;AB290588_1_1699_U_Aurantiochytrium_sp;H;151;AB810990_1_1737_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC (=NBRC) microalgal collection
68;AB355411_1_1756_U_Parietichytrium_sarkarianum;S;117;AB355411_1_1756_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA;coastal;water;Taxonomic rearrangement of the genus Ulkenia sensu lato based on morphology, chemotaxonomical characteristics, and 18S rRNA gene phylogeny (Thraustochytriaceae, Labyrinthulomycetes): emendation for Ulkenia and erection of Botryochytrium, Parietichytrium, and Sicyoidochytrium gen. nov
69;AB355412_1_1733_U_Sicyoidochytrium_minutum;S;150;AB355412_1_1733_U_Sicyoidochytrium_minutum;NA;NA;NA;NA;NA;NA;coastal;water;Taxonomic rearrangement of the genus Ulkenia sensu lato based on morphology, chemotaxonomical characteristics, and 18S rRNA gene phylogeny (Thraustochytriaceae, Labyrinthulomycetes): emendation for Ulkenia and erection of Botryochytrium, Parietichytrium, and Sicyoidochytrium gen. nov
70;AB362211_1_1790_U_Aurantiochytrium_sp;S;52;AB362211_1_1790_U_Aurantiochytrium_sp;NA;NA;NA;Sea water;NA;NA;;water;Extracellular enzymes produced by marine eukaryotes, thraustochytrids
71;AB505496_1_1678_U_Labyrinthulomycetes_LAB8_sp;S;248;AB505496_1_1678_U_Labyrinthulomycetes_LAB8_sp;NA;NA;NA;microbial mats in deep-sea cold seep sediment;NA;NA;deep_sea;sediment;Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment
72;AB505497_1_1724_U_Labyrinthulomycetes_LAB8_sp;S;179;AB505497_1_1724_U_Labyrinthulomycetes_LAB8_sp;microbial mat;Japan:Sagami Bay, off Hatsushima;microbial mats in deep-sea cold seep sediment;microbial mats in deep-sea cold seep sediment;NA;NA;deep_sea;sediment;Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment
73;AB505562_1_1732_U_Labyrinthulomycetes_LAB6_sp;S;158;AB505562_1_1732_U_Labyrinthulomycetes_LAB6_sp;NA;NA;NA;microbial mats in deep-sea cold seep sediment;NA;NA;deep_sea;sediment;Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment
74;AB505563_1_1732_U_Oblongichytrium_sp;S;159;AB505563_1_1732_U_Oblongichytrium_sp;NA;NA;NA;microbial mats in deep-sea cold seep sediment;NA;NA;deep_sea;sediment;Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment
75;AB505599_1_598_U_Aplanochytrium_sp;H;712;FJ389823_1_805_U_Aplanochytrium_sp;NA;NA;NA;microbial mats in deep-sea cold seepsediment;NA;NA;deep_sea;sediment;Molecular evidence that phylogenetically diverged ciliates are active in microbial mats of deep-sea cold-seep sediment
76;AB542115_1_1679_U_Schizochytrium_sp;S;247;AB542115_1_1679_U_Schizochytrium_sp;NA;NA;NA;sea water;NA;NA;oceanic;water;Thraustochytrids isolated from Seto InlandSea
77;AB572139_1_676_U_Amphifilaceae_X_sp;S;826;AB572139_1_676_U_Amphifilaceae_X_sp;clay wall material;Japan;clay wall material;clay wall material;NA;NA;artificial;clay;Analysis of the eukaryotic community and metabolites found in clay wall material used in the construction of traditional Japanese buildings
78;AB622307_1_1692_U_Amphifilaceae_X_sp;S;229;AB622307_1_1692_U_Amphifilaceae_X_sp;NA;NA;NA;freshwater lake;NA;NA;freshwater lake;;Phylogenetic diversity of 18S rRNA from uncultured small eukaryotes in Lake Kusaki
79;AB627973_1_521_U_Amphifilaceae_X_sp;S;956;AB627973_1_521_U_Amphifilaceae_X_sp;soil;Japan:Aichi;rice field soil;rice field soil;NA;NA;terrestrial;soil;Incorporation of plant residue-derived carbon into the microeukaryotic community in a rice field soil revealed by DNA stable-isotope probing
80;AB695476_1_1762_U_Labyrinthulaceae_ANT10_3_sp;S;103;AB695476_1_1762_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;aquatic moss pillars;NA;69.4666 S 39.5666 E;freshwater lake;moss;Eukaryotic phylotypes in aquatic moss pillars inhabiting a freshwater lake in East Antarctica, based on 18S rRNA gene analysis
81;AB695479_1_1769_U_Labyrinthulaceae_ANT10_3_sp;S;89;AB695479_1_1769_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;aquatic moss pillars;NA;69.4666 S 39.5666 E;freshwater lake;moss;Eukaryotic phylotypes in aquatic moss pillars inhabiting a freshwater lake in East Antarctica, based on 18S rRNA gene analysis
82;AB695481_1_1768_U_Labyrinthulaceae_ANT10_3_sp;S;93;AB695481_1_1768_U_Labyrinthulaceae_ANT10_3_sp;freshwater, moss pillar;Antarctica:Skarvsnes, Hotoke-Ike lake;aquatic moss pillars;aquatic moss pillars;NA;69.4666 S 39.5666 E;freshwater lake;moss;Eukaryotic phylotypes in aquatic moss pillars inhabiting a freshwater lake in East Antarctica, based on 18S rRNA gene analysis
83;AB695490_1_1762_U_Amphifilaceae_X_sp;S;104;AB695490_1_1762_U_Amphifilaceae_X_sp;NA;NA;NA;aquatic moss pillars;NA;69.4666 S 39.5666 E;freshwater lake;moss;Eukaryotic phylotypes in aquatic moss pillars inhabiting a freshwater lake in East Antarctica, based on 18S rRNA gene analysis
84;AB695533_1_1763_U_Labyrinthulaceae_ANT10_3_sp;S;101;AB695533_1_1763_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;aquatic moss pillars;NA;69.4666 S 39.5666 E;freshwater lake;moss;Eukaryotic phylotypes in aquatic moss pillars inhabiting a freshwater lake in East Antarctica, based on 18S rRNA gene analysis
85;AB695534_1_1762_U_Labyrinthulaceae_ANT10_3_sp;H;103;AB695476_1_1762_U_Labyrinthulaceae_ANT10_3_sp;NA;NA;NA;aquatic moss pillars;NA;69.4666 S 39.5666 E;freshwater lake;moss;Eukaryotic phylotypes in aquatic moss pillars inhabiting a freshwater lake in East Antarctica, based on 18S rRNA gene analysis
86;AB695537_1_1762_U_Amphifilaceae_X_sp;H;104;AB695490_1_1762_U_Amphifilaceae_X_sp;NA;NA;NA;aquatic moss pillars;NA;69.4666 S 39.5666 E;freshwater lake;moss;Eukaryotic phylotypes in aquatic moss pillars inhabiting a freshwater lake in East Antarctica, based on 18S rRNA gene analysis
87;AB721042_1_1697_U_Fibrophrys_sp;S;223;AB721042_1_1697_U_Fibrophrys_sp;NA;NA;NA;water purification plant;NA;NA;artificial;water;Phylogenetic diversity of 18S rRNA from uncultured small eukaryotes in Motojuku Water Purification Plant
88;AB721051_1_1697_U_Fibrophrys_sp;S;224;AB721051_1_1697_U_Fibrophrys_sp;NA;NA;NA;water purification plant;NA;NA;artificial;water;Phylogenetic diversity of 18S rRNA from uncultured small eukaryotes in Motojuku Water Purification Plant
89;AB721069_1_1686_U_Amphifilaceae_X_sp;S;236;AB721069_1_1686_U_Amphifilaceae_X_sp;NA;NA;NA;water purification plant;NA;NA;artificial;water;Phylogenetic diversity of 18S rRNA from uncultured small eukaryotes in Motojuku Water Purification Plant
90;AB769304_1_517_U_Amphifilaceae_X_sp;H;327;OBEP011191151_1_1541_U_Amphifila_sp;soil;NA;rice field soil;rice field soil;NA;NA;terrestrial;soil;Microeukaryotic Community and Oxygen Response in Rice Field Soil Revealed Using a Combined rRNA-Gene and rRNA-Based Approach
91;AB771818_1_1676_U_Amphifilaceae_X_sp;H;229;AB622307_1_1692_U_Amphifilaceae_X_sp;NA;NA;NA;freshwater lake;NA;NA;freshwater lake;;Phylogenetic diversity of 18S rRNA from uncultured small eukaryotes in Lake Kusaki
92;AB810938_1_1743_U_Aurantiochytrium_limacinum;H;40;MH319329_1_1799_U_Aurantiochytrium_acetophilum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
93;AB810939_1_1737_U_Aurantiochytrium_limacinum;H;74;MH595610_1_1778_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
94;AB810940_1_1739_U_Aurantiochytrium_limacinum;H;40;MH319329_1_1799_U_Aurantiochytrium_acetophilum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
95;AB810942_1_1738_U_Aurantiochytrium_sp;H;143;AB811009_1_1740_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
96;AB810943_1_1737_U_Aurantiochytrium_sp;H;87;FJ821482_1_1770_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
97;AB810944_1_1734_U_Aurantiochytrium_sp;H;87;FJ821482_1_1770_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
98;AB810945_1_1741_U_Aurantiochytrium_sp;H;68;KX379459_1_1781_U_Aurantiochytrium_limacinum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
99;AB810946_1_1743_U_Aurantiochytrium_sp;H;40;MH319329_1_1799_U_Aurantiochytrium_acetophilum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
100;AB810947_1_1740_U_Aurantiochytrium_sp;H;39;MH319327_1_1801_U_Aurantiochytrium_acetophilum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
101;AB810948_1_1740_U_Aurantiochytrium_sp;H;39;MH319327_1_1801_U_Aurantiochytrium_acetophilum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
102;AB810949_1_1736_U_Aurantiochytrium_sp;H;87;FJ821482_1_1770_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
103;AB810950_1_1787_U_Labyrinthuloides_sp;H;54;AB810951_1_1789_U_Labyrinthuloides_sp;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
104;AB810951_1_1789_U_Labyrinthuloides_sp;S;54;AB810951_1_1789_U_Labyrinthuloides_sp;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
105;AB810952_1_1786_U_Labyrinthuloides_sp;H;54;AB810951_1_1789_U_Labyrinthuloides_sp;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
106;AB810953_1_1746_U_Parietichytrium_sarkarianum;S;130;AB810953_1_1746_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
107;AB810954_1_1745_U_Parietichytrium_sarkarianum;S;132;AB810954_1_1745_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
108;AB810955_1_1755_U_Parietichytrium_sarkarianum;S;119;AB810955_1_1755_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
109;AB810956_1_1755_U_Parietichytrium_sarkarianum;H;117;AB355411_1_1756_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
110;AB810957_1_1755_U_Parietichytrium_sarkarianum;H;119;AB810955_1_1755_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
111;AB810958_1_1680_U_Thraustochytriaceae_SEK690_sp;H;242;AB810959_1_1681_U_Thraustochytriaceae_SEK690_sp;NA;NA;NA;NA;NA;NA;;;TLC screening of thraustochytrid strains for squalene production
